Month,Service Type,CBD Relation,Day Type,Time Period,Trips
08/01/2019,fhvhv,CBD-Null,1,Peak,1
08/01/2019,fhvhv,Entering CBD,1,Overnight,239424
08/01/2019,fhvhv,Entering CBD,2,Overnight,217071
08/01/2019,fhvhv,Within CBD,1,Peak,1944458
08/01/2019,fhvhv,CBD-Null,2,Overnight,1
08/01/2019,yellow,Entering CBD,2,Overnight,45571
08/01/2019,yellow,CBD-Null,2,Peak,2732
08/01/2019,yellow,CBD-Null,1,Peak,10556
08/01/2019,yellow,CBD-Null,1,Overnight,2395
08/01/2019,yellow,Leaving CBD,1,Overnight,225809
08/01/2019,yellow,Leaving CBD,2,Overnight,123096
08/01/2019,yellow,Within CBD,2,Overnight,288839
08/01/2019,yellow,Within CBD,1,Peak,1643433
08/01/2019,yellow,Entering CBD,2,Peak,131586
08/01/2019,yellow,Leaving CBD,1,Peak,516133
08/01/2019,yellow,Entering CBD,1,Peak,484447
08/01/2019,yellow,Within CBD,1,Overnight,443044
08/01/2019,yellow,Within CBD,2,Peak,458940
08/01/2019,yellow,Leaving CBD,2,Peak,137587
08/01/2019,yellow,Entering CBD,1,Overnight,74367
08/01/2019,yellow,CBD-Null,2,Overnight,1534
08/01/2019,fhv,CBD-Null,1,Overnight,2583
08/01/2019,green,Entering CBD,2,Peak,5622
08/01/2019,green,Leaving CBD,1,Overnight,8
08/01/2019,fhv,Entering CBD,1,Peak,16681
08/01/2019,fhv,Within CBD,2,Peak,483
08/01/2019,fhv,CBD-Null,2,Overnight,766
08/01/2019,fhv,Leaving CBD,1,Overnight,10545
08/01/2019,green,CBD-Null,2,Overnight,4
08/01/2019,green,CBD-Null,1,Peak,28
08/01/2019,green,Entering CBD,2,Overnight,4282
08/01/2019,green,Leaving CBD,1,Peak,104
08/01/2019,green,Within CBD,1,Peak,63
08/01/2019,fhv,Entering CBD,1,Overnight,2323
08/01/2019,fhv,Entering CBD,2,Peak,1995
08/01/2019,green,Entering CBD,1,Peak,21454
08/01/2019,fhv,CBD-Null,1,Peak,5404
08/01/2019,fhv,Leaving CBD,2,Overnight,1602
08/01/2019,fhv,Within CBD,2,Overnight,299
08/01/2019,fhv,Leaving CBD,2,Peak,2160
08/01/2019,fhv,Leaving CBD,1,Peak,22886
08/01/2019,fhv,Within CBD,1,Overnight,2000
08/01/2019,green,CBD-Null,2,Peak,2
08/01/2019,fhv,Entering CBD,2,Overnight,1074
08/01/2019,green,Leaving CBD,2,Overnight,5
08/01/2019,green,Within CBD,2,Peak,9
08/01/2019,green,Within CBD,2,Overnight,3
08/01/2019,green,Leaving CBD,2,Peak,7
08/01/2019,fhv,CBD-Null,2,Peak,1049
08/01/2019,fhv,Within CBD,1,Peak,6775
08/01/2019,green,Entering CBD,1,Overnight,4616
08/01/2019,green,CBD-Null,1,Overnight,1
09/01/2019,fhvhv,CBD-Null,2,Peak,3
09/01/2019,fhvhv,Within CBD,1,Overnight,560210
09/01/2019,fhvhv,Entering CBD,2,Peak,395533
09/01/2019,fhvhv,Leaving CBD,2,Peak,392983
09/01/2019,fhvhv,Entering CBD,1,Overnight,234897
09/01/2019,fhvhv,Entering CBD,2,Overnight,238240
09/01/2019,fhvhv,Leaving CBD,1,Overnight,612751
09/01/2019,fhvhv,Within CBD,2,Overnight,451462
09/01/2019,fhvhv,CBD-Null,1,Peak,1
09/01/2019,fhvhv,Leaving CBD,2,Overnight,429243
09/01/2019,fhvhv,Leaving CBD,1,Peak,1046241
09/01/2019,fhvhv,Entering CBD,1,Peak,955490
09/01/2019,fhvhv,Within CBD,2,Peak,725816
09/01/2019,fhvhv,Within CBD,1,Peak,1867788
09/01/2019,fhvhv,CBD-Null,1,Overnight,1
09/01/2019,yellow,Entering CBD,1,Overnight,81648
09/01/2019,yellow,Entering CBD,1,Peak,496144
09/01/2019,yellow,Within CBD,2,Overnight,346639
09/01/2019,yellow,Entering CBD,2,Peak,153623
09/01/2019,yellow,CBD-Null,2,Peak,3257
09/01/2019,yellow,Leaving CBD,1,Peak,531000
09/01/2019,yellow,Leaving CBD,1,Overnight,234932
09/01/2019,yellow,CBD-Null,1,Peak,10159
09/01/2019,yellow,Leaving CBD,2,Peak,162206
09/01/2019,yellow,Within CBD,1,Peak,1615055
09/01/2019,yellow,Within CBD,1,Overnight,452536
09/01/2019,yellow,CBD-Null,1,Overnight,2319
09/01/2019,yellow,CBD-Null,2,Overnight,1716
09/01/2019,yellow,Entering CBD,2,Overnight,53916
09/01/2019,yellow,Leaving CBD,2,Overnight,144388
09/01/2019,yellow,Within CBD,2,Peak,529226
09/01/2019,fhv,Leaving CBD,2,Overnight,1848
09/01/2019,green,Leaving CBD,1,Overnight,46
09/01/2019,green,Within CBD,1,Overnight,10
09/01/2019,green,CBD-Null,1,Peak,35
09/01/2019,fhv,Within CBD,1,Overnight,1889
09/01/2019,fhv,CBD-Null,1,Peak,17500
09/01/2019,fhv,Entering CBD,1,Overnight,2250
09/01/2019,green,Within CBD,2,Peak,32
09/01/2019,green,Leaving CBD,2,Overnight,42
09/01/2019,fhv,Within CBD,1,Peak,7366
09/01/2019,green,Within CBD,2,Overnight,9
09/01/2019,green,Entering CBD,2,Overnight,4507
09/01/2019,green,Entering CBD,1,Overnight,4543
09/01/2019,green,Entering CBD,1,Peak,19413
09/01/2019,green,CBD-Null,1,Overnight,3
09/01/2019,fhv,Leaving CBD,1,Peak,24816
09/01/2019,fhv,CBD-Null,2,Peak,2754
09/01/2019,fhv,CBD-Null,1,Overnight,4358
09/01/2019,green,CBD-Null,2,Peak,5
09/01/2019,green,Leaving CBD,2,Peak,187
09/01/2019,fhv,CBD-Null,2,Overnight,1750
09/01/2019,fhv,Within CBD,2,Peak,705
09/01/2019,green,Within CBD,1,Peak,246
09/01/2019,green,Leaving CBD,1,Peak,1303
09/01/2019,green,Entering CBD,2,Peak,6021
09/01/2019,fhv,Entering CBD,2,Overnight,1210
09/01/2019,green,CBD-Null,2,Overnight,1
09/01/2019,fhv,Leaving CBD,1,Overnight,10832
09/01/2019,fhv,Leaving CBD,2,Peak,2350
09/01/2019,fhv,Entering CBD,2,Peak,2151
09/01/2019,fhv,Within CBD,2,Overnight,318
09/01/2019,fhv,Entering CBD,1,Peak,17296
10/01/2019,fhvhv,Leaving CBD,2,Peak,362073
10/01/2019,fhvhv,Entering CBD,2,Overnight,225360
10/01/2019,fhvhv,Leaving CBD,1,Overnight,706875
10/01/2019,fhvhv,Leaving CBD,2,Overnight,407650
10/01/2019,fhvhv,Within CBD,2,Peak,696570
10/01/2019,fhvhv,CBD-Null,1,Peak,3
10/01/2019,fhvhv,Entering CBD,2,Peak,370123
10/01/2019,fhvhv,Within CBD,2,Overnight,423864
10/01/2019,fhvhv,Within CBD,1,Peak,2136550
10/01/2019,fhvhv,Within CBD,1,Overnight,648603
10/01/2019,fhvhv,Entering CBD,1,Peak,1083714
10/01/2019,fhvhv,Leaving CBD,1,Peak,1191580
10/01/2019,fhvhv,Entering CBD,1,Overnight,260238
10/01/2019,fhvhv,CBD-Null,2,Peak,3
10/01/2019,yellow,Entering CBD,1,Overnight,96921
10/01/2019,yellow,Leaving CBD,1,Peak,624398
10/01/2019,yellow,Entering CBD,1,Peak,592020
10/01/2019,yellow,Leaving CBD,1,Overnight,273448
10/01/2019,yellow,CBD-Null,1,Overnight,2656
10/01/2019,yellow,CBD-Null,1,Peak,11480
10/01/2019,yellow,Within CBD,1,Overnight,506405
10/01/2019,yellow,Within CBD,1,Peak,1859947
10/01/2019,yellow,Leaving CBD,2,Overnight,137859
10/01/2019,yellow,Within CBD,2,Peak,491025
10/01/2019,yellow,Within CBD,2,Overnight,325064
10/01/2019,yellow,CBD-Null,2,Peak,2856
10/01/2019,yellow,Leaving CBD,2,Peak,155951
10/01/2019,yellow,Entering CBD,2,Peak,149093
10/01/2019,yellow,Entering CBD,2,Overnight,51595
10/01/2019,yellow,CBD-Null,2,Overnight,1678
10/01/2019,fhv,Leaving CBD,2,Overnight,1678
10/01/2019,green,CBD-Null,1,Overnight,3
10/01/2019,green,Within CBD,2,Peak,56
10/01/2019,fhv,Within CBD,2,Peak,649
10/01/2019,fhv,Leaving CBD,1,Overnight,12504
10/01/2019,fhv,Entering CBD,2,Overnight,1124
10/01/2019,green,Within CBD,2,Overnight,7
10/01/2019,green,CBD-Null,2,Overnight,1
10/01/2019,fhv,Entering CBD,1,Overnight,3149
10/01/2019,green,Leaving CBD,1,Overnight,88
10/01/2019,fhv,CBD-Null,1,Peak,34247
10/01/2019,fhv,Within CBD,1,Overnight,2333
10/01/2019,green,Entering CBD,2,Peak,5509
10/01/2019,green,Entering CBD,2,Overnight,3578
10/01/2019,fhv,Entering CBD,2,Peak,2074
10/01/2019,fhv,Entering CBD,1,Peak,19880
10/01/2019,green,Leaving CBD,2,Peak,319
10/01/2019,fhv,Leaving CBD,2,Peak,2423
10/01/2019,green,CBD-Null,2,Peak,2
10/01/2019,green,Within CBD,1,Peak,387
10/01/2019,green,Within CBD,1,Overnight,8
10/01/2019,fhv,Within CBD,1,Peak,9250
10/01/2019,green,Entering CBD,1,Overnight,4039
10/01/2019,green,Leaving CBD,1,Peak,2877
10/01/2019,green,Leaving CBD,2,Overnight,56
10/01/2019,fhv,Within CBD,2,Overnight,346
10/01/2019,fhv,CBD-Null,1,Overnight,6551
10/01/2019,fhv,Leaving CBD,1,Peak,28648
10/01/2019,green,CBD-Null,1,Peak,12
10/01/2019,fhv,CBD-Null,2,Overnight,2545
10/01/2019,green,Entering CBD,1,Peak,22637
10/01/2019,fhv,CBD-Null,2,Peak,4696
11/01/2019,fhvhv,Leaving CBD,1,Peak,1076838
11/01/2019,fhvhv,Entering CBD,2,Peak,411149
11/01/2019,fhvhv,Entering CBD,1,Peak,975486
11/01/2019,fhvhv,Within CBD,2,Overnight,493526
11/01/2019,fhvhv,Leaving CBD,1,Overnight,645552
11/01/2019,fhvhv,Within CBD,1,Overnight,602172
11/01/2019,fhvhv,Leaving CBD,2,Peak,404565
11/01/2019,fhvhv,Within CBD,2,Peak,812695
11/01/2019,fhvhv,Entering CBD,1,Overnight,240295
11/01/2019,fhvhv,Entering CBD,2,Overnight,243655
11/01/2019,fhvhv,Leaving CBD,2,Overnight,440978
11/01/2019,fhvhv,Within CBD,1,Peak,1896918
11/01/2019,yellow,Entering CBD,2,Overnight,55149
11/01/2019,yellow,Entering CBD,1,Overnight,84330
11/01/2019,yellow,Leaving CBD,1,Overnight,249694
11/01/2019,yellow,Entering CBD,1,Peak,518331
11/01/2019,yellow,Within CBD,2,Overnight,361749
11/01/2019,yellow,CBD-Null,1,Overnight,2427
11/01/2019,yellow,Leaving CBD,1,Peak,554555
11/01/2019,yellow,Leaving CBD,2,Overnight,148103
11/01/2019,yellow,CBD-Null,1,Peak,9803
11/01/2019,yellow,Within CBD,1,Overnight,468690
11/01/2019,yellow,CBD-Null,2,Overnight,1860
11/01/2019,yellow,Within CBD,1,Peak,1633053
11/01/2019,yellow,Within CBD,2,Peak,578226
11/01/2019,yellow,Leaving CBD,2,Peak,180214
11/01/2019,yellow,CBD-Null,2,Peak,3242
11/01/2019,yellow,Entering CBD,2,Peak,165544
11/01/2019,green,Within CBD,2,Peak,43
11/01/2019,fhv,Leaving CBD,1,Overnight,10628
11/01/2019,fhv,CBD-Null,1,Overnight,5763
11/01/2019,fhv,Leaving CBD,1,Peak,24723
11/01/2019,fhv,Entering CBD,2,Overnight,1408
11/01/2019,fhv,Entering CBD,1,Overnight,2519
11/01/2019,fhv,Leaving CBD,2,Overnight,1877
11/01/2019,green,CBD-Null,1,Overnight,2
11/01/2019,green,Within CBD,2,Overnight,6
11/01/2019,green,CBD-Null,2,Overnight,1
11/01/2019,green,Within CBD,1,Peak,293
11/01/2019,fhv,CBD-Null,2,Overnight,3045
11/01/2019,fhv,Entering CBD,2,Peak,2451
11/01/2019,green,Leaving CBD,2,Peak,322
